job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,min_salary,max_salary,avarage_salary_USD,Year,Month,salary_level
14,Frank-Duarte,Retail,Quant Researcher,"Excel, MLflow, NumPy, Hugging Face, LangChain, FastAPI",Senior,Full-time,"Christianberg, GQ",137004-193975,11/20/2024,Mid,"LangChain, TensorFlow, Scikit-learn",137004,193975,165489.5,2024,11,High
15,Rogers Ltd,Education,NLP Engineer,"Pandas, CUDA, NumPy, FastAPI",Mid,Remote,"New Katieborough, FJ",129842-216741,7/8/2024,Large,FastAPI,129842,216741,173291.5,2024,7,High
16,Wright-Evans,Automotive,NLP Engineer,"Hugging Face, Scikit-learn, Reinforcement Learning",Senior,Remote,"Stephaniechester, LU",124669-217866,4/6/2024,Startup,TensorFlow,124669,217866,171267.5,2024,4,High
17,Preston Ltd,E-commerce,ML Engineer,"MLflow, R, C++",Entry,Full-time,"South Tim, CZ",137523-180097,5/14/2025,Mid,LangChain,137523,180097,158810,2025,5,High
18,Smith-Moore,Automotive,AI Product Manager,"Excel, MLflow, Hugging Face, Flask, Power BI",Entry,Internship,"Blevinsburgh, VU",138184-192857,4/29/2024,Startup,BigQuery,138184,192857,165520.5,2024,4,High
19,Webb and Sons,Healthcare,Data Scientist,"AWS, Azure, Power BI, CUDA, Reinforcement Learning, Hugging Face",Senior,Remote,"Parkmouth, CA",100845-159745,10/19/2024,Mid,"BigQuery, FastAPI, KDB+",100845,159745,130295,2024,10,Medium
20,Gates LLC,E-commerce,ML Engineer,"R, CUDA, Power BI, AWS",Mid,Internship,"Stevenhaven, BW",115578-207180,8/29/2024,Large,MLflow,115578,207180,161379,2024,8,High
21,"Whitaker, Walker and Sandoval",Retail,Quant Researcher,"C++, Power BI, R, SQL, Keras, Azure",Entry,Remote,"Gregorymouth, LV",122521-175168,1/19/2024,Large,"Scikit-learn, BigQuery, PyTorch",122521,175168,148844.5,2024,1,Medium
22,Humphrey LLC,Retail,Quant Researcher,"LangChain, NumPy, CUDA, C++, MLflow, R",Entry,Full-time,"Lake Alexander, RU",62483-105216,12/28/2023,Large,"PyTorch, LangChain",62483,105216,83849.5,2023,12,Low
23,"Adams, Stevenson and Wagner",E-commerce,NLP Engineer,"CUDA, FastAPI, Scikit-learn, MLflow, Hugging Face",Mid,Remote,"North Nicholas, SN",74317-148899,11/25/2024,Startup,"PyTorch, Scikit-learn, KDB+",74317,148899,111608,2024,11,Medium
24,"Thomas, Hurst and Becker",Tech,NLP Engineer,"PyTorch, CUDA, Hugging Face, Flask, C++",Senior,Internship,"Leeton, MW",68115-125323,12/6/2023,Mid,Scikit-learn,68115,125323,96719,2023,12,Low
25,Sherman-Nguyen,Healthcare,NLP Engineer,"Python, Reinforcement Learning, MLflow",Mid,Internship,"Suzanneview, TW",89840-109693,6/13/2025,Mid,FastAPI,89840,109693,99766.5,2025,6,Low
26,Johnson-Keller,Finance,NLP Engineer,"PyTorch, Reinforcement Learning, FastAPI, Power BI, Python, R",Mid,Remote,"Whitestad, BB",107786-126713,12/20/2024,Mid,"FastAPI, PyTorch, KDB+",107786,126713,117249.5,2024,12,Medium
27,Le PLC,Education,Quant Researcher,"Azure, Flask, FastAPI, Hugging Face, Power BI, Python",Senior,Internship,"Taraburgh, DZ",44309-77284,1/2/2025,Large,"TensorFlow, Scikit-learn, FastAPI",44309,77284,60796.5,2025,1,Low
28,"Abbott, Nielsen and Young",Healthcare,Data Analyst,"R, Python, Pandas",Entry,Contract,"New Richard, TD",124616-172767,2/28/2025,Startup,"PyTorch, MLflow",124616,172767,148691.5,2025,2,Medium
29,Thomas-Ruiz,Finance,Data Analyst,"Flask, Hugging Face, Pandas, Python, Scikit-learn, Keras",Mid,Internship,"South Donaldton, GE",142616-216391,1/31/2025,Startup,"Scikit-learn, FastAPI, LangChain",142616,216391,179503.5,2025,1,High
30,"Good, Ware and Cruz",Finance,Data Analyst,"Scikit-learn, SQL, Azure",Entry,Contract,"North Michael, TT",70932-161568,6/7/2024,Startup,TensorFlow,70932,161568,116250,2024,6,Medium
31,Gay PLC,Tech,Quant Researcher,"Keras, Excel, TensorFlow",Senior,Full-time,"Port Patriciaport, TG",54565-94461,6/27/2024,Startup,"KDB+, PyTorch",54565,94461,74513,2024,6,Low
32,Kirby-Zuniga,Healthcare,Data Scientist,"Hugging Face, Scikit-learn, C++, Excel, Azure",Entry,Full-time,"Danielchester, ID",112660-179478,9/22/2023,Mid,"LangChain, KDB+",112660,179478,146069,2023,9,Medium
33,"Castillo, Campbell and Robinson",Tech,AI Product Manager,"Keras, PyTorch, AWS, FastAPI, CUDA",Mid,Contract,"Alexandriaburgh, KN",55330-104941,9/30/2024,Startup,"TensorFlow, Scikit-learn",55330,104941,80135.5,2024,9,Low
34,Carter LLC,Finance,NLP Engineer,"MLflow, Keras, SQL, GCP, Power BI",Senior,Internship,"West Charles, TT",110439-183071,11/25/2023,Startup,PyTorch,110439,183071,146755,2023,11,Medium
35,Hall Group,Automotive,Computer Vision Engineer,"GCP, C++, Excel",Entry,Contract,"North Denise, MC",97714-134140,4/1/2024,Large,"TensorFlow, Scikit-learn",97714,134140,115927,2024,4,Medium
36,Huynh PLC,Finance,Computer Vision Engineer,"PyTorch, LangChain, R",Mid,Remote,"Kirbyside, LT",87250-156869,12/25/2023,Startup,"Scikit-learn, FastAPI, MLflow",87250,156869,122059.5,2023,12,Medium
37,"Smith, Haas and Mendez",Retail,AI Researcher,"Excel, SQL, Python",Entry,Contract,"Lake John, AU",77074-163272,11/16/2024,Mid,"Scikit-learn, LangChain, KDB+",77074,163272,120173,2024,11,Medium
38,"Briggs, Shaw and Berry",E-commerce,ML Engineer,"SQL, Hugging Face, TensorFlow",Mid,Remote,"East Ashleyland, PL",116061-159814,5/14/2025,Startup,MLflow,116061,159814,137937.5,2025,5,Medium
39,Boyd PLC,Retail,Data Scientist,"PyTorch, Power BI, AWS, FastAPI",Senior,Internship,"Port Misty, NL",87411-136106,6/10/2024,Mid,LangChain,87411,136106,111758.5,2024,6,Medium
40,"Sanders, Mejia and Townsend",Automotive,Data Analyst,"Power BI, PyTorch, GCP, CUDA, Keras, Scikit-learn",Entry,Internship,"Deleonchester, HN",88562-159008,6/27/2025,Mid,"FastAPI, Scikit-learn, LangChain",88562,159008,123785,2025,6,Medium
41,Hernandez Inc,E-commerce,Quant Researcher,"NumPy, AWS, Excel, SQL, Keras",Senior,Remote,"Nicoleport, BF",41935-95608,2/8/2025,Mid,"Scikit-learn, TensorFlow, BigQuery",41935,95608,68771.5,2025,2,Low
42,"Parrish, White and Grant",E-commerce,NLP Engineer,"R, Power BI, CUDA, MLflow",Mid,Full-time,"Kimside, BW",126443-145937,11/10/2023,Startup,TensorFlow,126443,145937,136190,2023,11,Medium
43,"Carroll, Lucero and Lambert",Healthcare,AI Product Manager,"NumPy, SQL, Python, Reinforcement Learning, LangChain",Entry,Full-time,"Simsside, TD",99978-189975,9/5/2024,Large,"PyTorch, TensorFlow, FastAPI",99978,189975,144976.5,2024,9,Medium
44,"Thomas, Waller and Kelly",Education,Quant Researcher,"Hugging Face, Flask, TensorFlow, Excel, SQL",Entry,Contract,"South Jeremiah, MX",65214-151832,3/11/2025,Large,"TensorFlow, LangChain, PyTorch",65214,151832,108523,2025,3,Medium
45,"Franklin, Wright and Berg",Automotive,Quant Researcher,"Hugging Face, Pandas, CUDA, LangChain, FastAPI",Mid,Internship,"Ramirezmouth, PK",71101-158421,3/16/2025,Mid,KDB+,71101,158421,114761,2025,3,Medium
46,"Coleman, Gray and Roach",Healthcare,ML Engineer,"LangChain, AWS, GCP",Entry,Internship,"New Rachelmouth, IT",119200-129563,2/14/2025,Startup,"FastAPI, MLflow, TensorFlow",119200,129563,124381.5,2025,2,Medium
47,Mooney-Decker,Finance,Data Scientist,"Scikit-learn, PyTorch, Flask, Azure",Mid,Contract,"Jennyland, TR",122083-203812,8/4/2024,Startup,"PyTorch, BigQuery",122083,203812,162947.5,2024,8,High
48,Wood LLC,Automotive,Computer Vision Engineer,"GCP, TensorFlow, Power BI",Entry,Contract,"Port Johnville, MA",144773-159408,2/21/2025,Mid,"MLflow, BigQuery, LangChain",144773,159408,152090.5,2025,2,High
49,Copeland Group,Education,NLP Engineer,"TensorFlow, LangChain, PyTorch, Power BI, R",Entry,Remote,"North Josephshire, YE",78317-161397,3/19/2024,Mid,"KDB+, PyTorch, MLflow",78317,161397,119857,2024,3,Medium
50,Richards PLC,Finance,NLP Engineer,"Power BI, CUDA, C++, Pandas, SQL, AWS",Mid,Full-time,"Lewismouth, TD",75575-120477,5/7/2024,Large,"FastAPI, KDB+, Scikit-learn",75575,120477,98026,2024,5,Low
51,"Melendez, Williams and Williamson",E-commerce,AI Product Manager,"TensorFlow, Keras, PyTorch, AWS, Scikit-learn",Entry,Full-time,"Steinside, IT",133185-231638,9/27/2023,Large,BigQuery,133185,231638,182411.5,2023,9,High
52,"Ellis, Crane and Boyle",E-commerce,Computer Vision Engineer,"Azure, Keras, Scikit-learn, Hugging Face, Excel, R",Entry,Contract,"North Jason, MR",73140-164506,5/30/2025,Mid,"LangChain, KDB+, FastAPI",73140,164506,118823,2025,5,Medium
53,Foley-Moore,Finance,Data Scientist,"Keras, Pandas, Python, FastAPI, CUDA, Scikit-learn",Mid,Contract,"Thomasfort, KG",69031-115150,5/17/2025,Large,MLflow,69031,115150,92090.5,2025,5,Low
54,Wright and Sons,Tech,Quant Researcher,"R, SQL, Python, PyTorch",Mid,Full-time,"Chavezstad, TG",49382-141727,11/9/2024,Large,"LangChain, BigQuery, MLflow",49382,141727,95554.5,2024,11,Low
55,Williams-Vargas,Healthcare,Quant Researcher,"Keras, Excel, FastAPI, Azure, R, PyTorch",Senior,Full-time,"Carlland, ME",135916-233596,11/10/2024,Startup,"FastAPI, TensorFlow, BigQuery",135916,233596,184756,2024,11,High
56,Hill-Huff,Tech,ML Engineer,"Power BI, LangChain, Flask, Excel, SQL, CUDA",Senior,Remote,"Jessicamouth, PT",149271-215582,4/23/2025,Startup,"BigQuery, PyTorch, TensorFlow",149271,215582,182426.5,2025,4,High
57,Meyer PLC,Education,Data Analyst,"AWS, Excel, Azure",Entry,Internship,"Caitlynmouth, MR",56348-123497,11/16/2023,Mid,"LangChain, Scikit-learn, PyTorch",56348,123497,89922.5,2023,11,Low
58,Boyd-Carlson,Retail,ML Engineer,"Excel, AWS, Keras, Azure, FastAPI, R",Senior,Full-time,"Villarrealhaven, KI",69159-139847,2/11/2025,Large,"MLflow, LangChain",69159,139847,104503,2025,2,Medium
59,Scott-Gardner,Tech,AI Researcher,"FastAPI, C++, Excel, Flask, Pandas",Senior,Remote,"North Laurie, BI",78305-162525,6/21/2025,Large,"FastAPI, PyTorch, LangChain",78305,162525,120415,2025,6,Medium
60,Jackson Group,Finance,AI Product Manager,"TensorFlow, C++, SQL, Hugging Face, Flask, Power BI",Mid,Internship,"East Juliashire, TR",64238-115477,9/25/2023,Startup,BigQuery,64238,115477,89857.5,2023,9,Low
61,"Sullivan, Silva and Sawyer",Finance,Data Analyst,"Power BI, Excel, GCP",Senior,Remote,"North Jonathan, NL",53583-148644,6/27/2024,Mid,MLflow,53583,148644,101113.5,2024,6,Medium
62,"Page, Bonilla and Cohen",Retail,AI Product Manager,"Python, FastAPI, Scikit-learn, Hugging Face, Power BI, Flask",Entry,Remote,"Port Jacobchester, SB",50457-126635,5/8/2024,Startup,LangChain,50457,126635,88546,2024,5,Low
63,Young-Wright,Retail,Computer Vision Engineer,"Hugging Face, Keras, Scikit-learn",Mid,Internship,"Kaylaburgh, NO",97883-172449,10/26/2024,Large,"TensorFlow, LangChain",97883,172449,135166,2024,10,Medium
64,Patel PLC,E-commerce,AI Product Manager,"Reinforcement Learning, LangChain, Python",Entry,Remote,"South Jamie, KM",94965-141198,2/17/2025,Startup,FastAPI,94965,141198,118081.5,2025,2,Medium
65,"Lopez, Nelson and Meyer",E-commerce,AI Researcher,"Azure, Pandas, Power BI, MLflow",Entry,Internship,"Lake Michelleport, RS",81202-154117,1/6/2025,Startup,"PyTorch, TensorFlow, FastAPI",81202,154117,117659.5,2025,1,Medium
66,"Harris, Porter and Walter",Retail,AI Researcher,"C++, Reinforcement Learning, NumPy, Azure, MLflow, Flask",Mid,Contract,"Port Kristenmouth, SA",106117-199125,12/19/2023,Large,"FastAPI, KDB+",106117,199125,152621,2023,12,High
67,Dominguez and Sons,Automotive,AI Product Manager,"LangChain, FastAPI, SQL",Senior,Internship,"Rodriguezstad, ET",137229-193525,4/8/2024,Large,"BigQuery, KDB+",137229,193525,165377,2024,4,High
68,Griffith-Garner,Retail,Data Analyst,"NumPy, Python, Azure, GCP, C++, Scikit-learn",Senior,Remote,"Meredithview, LS",40995-54162,12/21/2024,Startup,PyTorch,40995,54162,47578.5,2024,12,Low
69,Smith LLC,Healthcare,Data Analyst,"Power BI, AWS, NumPy, CUDA, MLflow",Mid,Full-time,"South Tylerhaven, LC",129140-193460,12/9/2023,Mid,"LangChain, PyTorch, MLflow",129140,193460,161300,2023,12,High
70,Smith-Jones,Education,Data Analyst,"LangChain, PyTorch, Flask",Mid,Full-time,"South Karenville, BB",86690-120765,6/15/2025,Mid,BigQuery,86690,120765,103727.5,2025,6,Medium
71,"Maddox, Steele and Jones",Retail,ML Engineer,"Flask, Scikit-learn, NumPy",Entry,Internship,"Billyfort, YE",85816-149983,3/12/2025,Mid,"FastAPI, PyTorch",85816,149983,117899.5,2025,3,Medium
72,Williams PLC,Healthcare,Quant Researcher,"SQL, FastAPI, LangChain, Scikit-learn, NumPy, TensorFlow",Senior,Remote,"New Jefferyfort, TG",60805-99890,2/12/2024,Startup,"FastAPI, LangChain",60805,99890,80347.5,2024,2,Low
73,"Hurst, Manning and Wood",Education,Data Analyst,"Azure, Excel, TensorFlow",Senior,Remote,"Petersenborough, VN",118377-137651,5/2/2025,Large,"PyTorch, BigQuery, Scikit-learn",118377,137651,128014,2025,5,Medium
74,"Howard, Carr and Joseph",Automotive,NLP Engineer,"C++, MLflow, CUDA, Hugging Face",Mid,Internship,"Leeberg, ME",81382-175328,11/28/2023,Large,"MLflow, PyTorch",81382,175328,128355,2023,11,Medium
75,Lewis-Smith,Automotive,ML Engineer,"MLflow, NumPy, R, C++, PyTorch",Senior,Remote,"North Christopherfurt, LR",132555-209536,9/9/2025,Startup,KDB+,132555,209536,171045.5,2025,9,High
76,Luna and Sons,Automotive,AI Researcher,"R, Python, Flask",Mid,Contract,"Weberland, TL",54185-86768,12/6/2023,Mid,"FastAPI, TensorFlow, PyTorch",54185,86768,70476.5,2023,12,Low
77,King-Sheppard,E-commerce,AI Researcher,"FastAPI, Hugging Face, PyTorch",Mid,Internship,"Zamorafurt, UA",101020-182230,7/3/2025,Startup,PyTorch,101020,182230,141625,2025,7,Medium
78,Meyer-Shaffer,E-commerce,NLP Engineer,"Pandas, Flask, FastAPI, Reinforcement Learning",Mid,Internship,"Sharpborough, DM",49529-68621,2/21/2024,Startup,"LangChain, PyTorch, Scikit-learn",49529,68621,59075,2024,2,Low
79,"Ellis, Page and Smith",Tech,Quant Researcher,"Reinforcement Learning, Flask, NumPy, LangChain",Entry,Contract,"North Carriestad, IR",88756-103530,10/12/2024,Startup,LangChain,88756,103530,96143,2024,10,Low
80,Martinez-Fitzgerald,Healthcare,ML Engineer,"AWS, TensorFlow, Flask, Power BI",Senior,Internship,"South Charles, CI",108574-194850,1/20/2025,Large,KDB+,108574,194850,151712,2025,1,High
81,Johnson Inc,Education,AI Researcher,"Reinforcement Learning, Python, Pandas, TensorFlow",Mid,Internship,"Lake Kristen, AZ",111184-166588,8/3/2025,Large,"Scikit-learn, MLflow, PyTorch",111184,166588,138886,2025,8,Medium
82,Camacho PLC,Finance,Data Analyst,"R, C++, GCP, Hugging Face, LangChain, TensorFlow",Entry,Full-time,"Anthonyland, GQ",120456-210505,1/14/2024,Large,"PyTorch, Scikit-learn, BigQuery",120456,210505,165480.5,2024,1,High
83,Sweeney-Griffith,Finance,AI Product Manager,"Flask, Azure, C++, Excel",Entry,Internship,"Michaelchester, MK",86740-124608,9/17/2025,Mid,MLflow,86740,124608,105674,2025,9,Medium
84,"Stafford, Owens and Thompson",Education,Data Analyst,"MLflow, Hugging Face, Python, Scikit-learn",Entry,Full-time,"Lake Debra, AM",78116-122008,4/25/2025,Mid,"MLflow, LangChain, KDB+",78116,122008,100062,2025,4,Medium
85,"Gonzalez, Watts and Thompson",E-commerce,Computer Vision Engineer,"FastAPI, SQL, Flask, CUDA, C++, Scikit-learn",Mid,Contract,"New Danielburgh, RU",42962-75277,11/1/2024,Startup,"FastAPI, LangChain",42962,75277,59119.5,2024,11,Low
86,Graham Group,Tech,Data Analyst,"LangChain, FastAPI, PyTorch, CUDA, AWS",Senior,Full-time,"Lake Melissaville, PL",51640-64834,3/21/2024,Large,"BigQuery, Scikit-learn, MLflow",51640,64834,58237,2024,3,Low
87,Ward-Allen,Education,Quant Researcher,"C++, Power BI, NumPy",Mid,Contract,"Jeffreyburgh, SC",98118-167073,9/10/2024,Large,"LangChain, BigQuery",98118,167073,132595.5,2024,9,Medium
88,"Garrett, Hernandez and Anderson",Finance,Quant Researcher,"FastAPI, Scikit-learn, LangChain",Mid,Internship,"Whiteville, SE",140819-222611,11/16/2023,Mid,"LangChain, MLflow",140819,222611,181715,2023,11,High
89,Long Inc,Finance,AI Researcher,"Flask, Python, Power BI, CUDA",Entry,Internship,"Jacksonmouth, UZ",82496-127505,3/23/2025,Startup,"FastAPI, LangChain, BigQuery",82496,127505,105000.5,2025,3,Medium
90,Cummings-Nash,Finance,AI Researcher,"Python, SQL, C++, FastAPI",Entry,Internship,"Adamton, HR",124249-174855,10/17/2023,Startup,"KDB+, LangChain",124249,174855,149552,2023,10,Medium
91,"Sawyer, Donovan and Vargas",Automotive,NLP Engineer,"TensorFlow, Power BI, FastAPI, LangChain, Scikit-learn, Python",Mid,Contract,"Lake Erica, NL",81426-145890,10/19/2023,Mid,"BigQuery, KDB+, LangChain",81426,145890,113658,2023,10,Medium
92,"Stewart, Gutierrez and Simpson",Tech,Data Scientist,"GCP, LangChain, Keras",Entry,Internship,"South Paige, VC",51104-130405,3/21/2025,Large,"LangChain, FastAPI, Scikit-learn",51104,130405,90754.5,2025,3,Low
93,Jones-Marshall,Finance,NLP Engineer,"Excel, TensorFlow, Pandas, CUDA",Entry,Remote,"Scottberg, MG",143177-155682,8/26/2025,Startup,"MLflow, FastAPI, TensorFlow",143177,155682,149429.5,2025,8,Medium
94,Murphy-Rosales,Education,NLP Engineer,"FastAPI, PyTorch, CUDA, Flask, Scikit-learn",Mid,Remote,"West Jesse, NG",139393-162837,7/13/2025,Large,"LangChain, BigQuery",139393,162837,151115,2025,7,High
95,Solis-Thornton,Healthcare,ML Engineer,"Hugging Face, Python, FastAPI, CUDA, GCP",Entry,Full-time,"East Autumn, AM",111746-137892,10/10/2024,Mid,"LangChain, BigQuery",111746,137892,124819,2024,10,Medium
96,Michael Ltd,Healthcare,Computer Vision Engineer,"PyTorch, MLflow, Scikit-learn, Excel, Pandas",Senior,Full-time,"Maldonadoville, PL",107083-124486,8/9/2025,Startup,LangChain,107083,124486,115784.5,2025,8,Medium
97,Alexander and Sons,Education,AI Researcher,"Pandas, R, FastAPI, AWS, MLflow, Python",Senior,Full-time,"Richardside, PY",126865-190621,11/15/2024,Startup,"LangChain, FastAPI",126865,190621,158743,2024,11,High
98,"Travis, Fletcher and Rodriguez",Finance,Computer Vision Engineer,"Python, SQL, Power BI, Scikit-learn, FastAPI",Mid,Contract,"Port Julieburgh, KW",127896-227744,12/18/2023,Large,"FastAPI, KDB+, LangChain",127896,227744,177820,2023,12,High
99,Lozano-Hill,Healthcare,Data Analyst,"Keras, NumPy, Excel, C++, Pandas",Entry,Contract,"South Stephanieville, BS",133789-170501,5/22/2024,Large,"TensorFlow, BigQuery",133789,170501,152145,2024,5,High
100,"Farmer, Leach and Norris",Retail,Computer Vision Engineer,"Keras, Power BI, MLflow, AWS",Mid,Contract,"Williamsbury, DO",126422-179630,9/3/2025,Mid,TensorFlow,126422,179630,153026,2025,9,High
101,Price-Nichols,Healthcare,ML Engineer,"Pandas, MLflow, Hugging Face, SQL",Entry,Contract,"South Fredview, PL",53156-131761,7/22/2025,Startup,TensorFlow,53156,131761,92458.5,2025,7,Low
102,"Gonzalez, Jackson and Williams",Retail,Data Scientist,"Hugging Face, LangChain, Azure, Scikit-learn, Flask",Senior,Internship,"Heatherport, DO",76985-169306,8/9/2025,Large,"KDB+, BigQuery, MLflow",76985,169306,123145.5,2025,8,Medium
103,"Dodson, Palmer and Huber",Education,Quant Researcher,"Python, Pandas, NumPy, MLflow",Entry,Full-time,"Alejandromouth, CU",129308-160166,2/26/2025,Mid,KDB+,129308,160166,144737,2025,2,Medium
104,Morris-Sanchez,Finance,Data Scientist,"Power BI, GCP, Scikit-learn",Senior,Internship,"New James, CR",112263-190554,3/21/2025,Mid,TensorFlow,112263,190554,151408.5,2025,3,High
105,Cobb-Lindsey,E-commerce,NLP Engineer,"FastAPI, TensorFlow, NumPy, AWS, Azure",Entry,Contract,"West Madison, QA",147332-158887,11/19/2024,Mid,"LangChain, Scikit-learn",147332,158887,153109.5,2024,11,High
106,Ramirez-Goodwin,Automotive,Computer Vision Engineer,"CUDA, Pandas, GCP, LangChain, Azure, TensorFlow",Mid,Full-time,"Tanyachester, TW",54559-121736,4/4/2025,Mid,"KDB+, MLflow",54559,121736,88147.5,2025,4,Low
107,Duran PLC,Healthcare,Computer Vision Engineer,"Keras, GCP, SQL",Senior,Remote,"New David, EG",91427-154726,10/3/2023,Mid,"BigQuery, FastAPI",91427,154726,123076.5,2023,10,Medium
108,Kaiser Group,Tech,AI Product Manager,"Power BI, FastAPI, Reinforcement Learning, SQL, Keras, AWS",Senior,Contract,"South Patricktown, NO",120983-167455,3/30/2025,Large,"TensorFlow, Scikit-learn, MLflow",120983,167455,144219,2025,3,Medium
109,Garcia PLC,Education,ML Engineer,"AWS, Hugging Face, Flask, CUDA",Mid,Contract,"Sanfordmouth, GW",108083-168433,2/6/2024,Large,BigQuery,108083,168433,138258,2024,2,Medium
110,Steele-Norman,Healthcare,Quant Researcher,"Azure, MLflow, Excel, CUDA",Mid,Contract,"Elainefurt, BS",43248-86711,6/20/2024,Mid,Scikit-learn,43248,86711,64979.5,2024,6,Low
111,Garcia Ltd,Education,AI Researcher,"SQL, Flask, NumPy, Power BI, Excel",Entry,Remote,"Brownstad, LU",73459-87186,9/8/2024,Large,KDB+,73459,87186,80322.5,2024,9,Low
112,Hill LLC,Healthcare,AI Researcher,"GCP, Azure, Reinforcement Learning, TensorFlow, CUDA, FastAPI",Mid,Contract,"Lake Christopher, QA",94345-157493,7/24/2024,Large,Scikit-learn,94345,157493,125919,2024,7,Medium
113,"Morales, Thomas and Miller",Healthcare,NLP Engineer,"Python, FastAPI, R",Mid,Full-time,"Millermouth, GY",113621-179602,8/28/2024,Mid,"MLflow, Scikit-learn, FastAPI",113621,179602,146611.5,2024,8,Medium
114,Kelly-Novak,Finance,Data Scientist,"Scikit-learn, Pandas, GCP, Python, R",Entry,Full-time,"Nicoleside, AD",43828-137950,5/20/2025,Mid,KDB+,43828,137950,90889,2025,5,Low
115,Martin-Hernandez,Tech,Quant Researcher,"AWS, Python, GCP, R, C++, FastAPI",Senior,Remote,"North Patrick, KE",118046-186961,6/17/2025,Startup,"Scikit-learn, TensorFlow",118046,186961,152503.5,2025,6,High
116,Price-Dean,Education,NLP Engineer,"NumPy, LangChain, Excel, Keras",Entry,Full-time,"Dennistown, IQ",143236-210339,3/17/2024,Large,MLflow,143236,210339,176787.5,2024,3,High
117,Ruiz Inc,Automotive,Data Analyst,"NumPy, Scikit-learn, Keras, TensorFlow, Hugging Face, Excel",Entry,Contract,"Rodriguezfurt, LI",70478-154317,5/7/2025,Large,"LangChain, KDB+",70478,154317,112397.5,2025,5,Medium
118,"Hudson, Burton and Campbell",E-commerce,Data Analyst,"TensorFlow, R, Hugging Face",Mid,Internship,"Sullivanburgh, BJ",69403-123368,4/5/2024,Startup,Scikit-learn,69403,123368,96385.5,2024,4,Low
119,Roberson Inc,Automotive,NLP Engineer,"Python, Power BI, Pandas, MLflow, Keras, Scikit-learn",Mid,Contract,"New Justin, ZW",143437-196807,1/1/2024,Mid,"MLflow, PyTorch, FastAPI",143437,196807,170122,2024,1,High
